団体コード,都道府県名,団体名,財政力指数,経常収支比率,実質公債費比率,将来負担比率,ラスパイレス指数,人口
403482,福岡県,久山町,0.75,90.8,10.7,-,95.4,9410
403491,福岡県,粕屋町,0.85,92.1,7.9,-,98.5,48723
403814,福岡県,芦屋町,0.34,99.9,8.3,-,95.5,12728
403822,福岡県,水巻町,0.50,91.5,5.8,9.5,95.4,27531
403831,福岡県,岡垣町,0.53,91.5,3.9,-,98.7,31460
403849,福岡県,遠賀町,0.54,87.7,7.3,-,94.9,18900
404012,福岡県,小竹町,0.32,93.7,6.8,81.5,96.6,6890
404021,福岡県,鞍手町,0.41,95.8,7.7,-,94.4,14774
404217,福岡県,桂川町,0.39,97.4,3.8,-,97.5,12738
404471,福岡県,筑前町,0.48,90.4,10.7,31.5,99.5,30805
404489,福岡県,東峰村,0.12,88.2,7.5,-,92.6,1762
405035,福岡県,大刀洗町,0.46,83.3,8.6,-,97.6,16121
405221,福岡県,大木町,0.47,83.2,5.7,-,98.9,13653
405442,福岡県,広川町,0.60,89.8,8.3,20.1,98.5,19141
406015,福岡県,香春町,0.29,90.6,4.0,-,97.1,9962
406023,福岡県,添田町,0.23,94.1,6.2,-,96.1,8311
406040,福岡県,糸田町,0.22,97.9,5.8,-,98.0,8269
406058,福岡県,川崎町,0.29,90.8,7.0,20.2,92.8,14804
406082,福岡県,大任町,0.16,89.7,6.4,-,90.4,5037
406091,福岡県,赤村,0.15,86.2,▲ 0.5,-,95.5,2843
406104,福岡県,福智町,0.27,96.9,6.9,-,97.5,20888
406210,福岡県,苅田町,1.31,80.1,9.4,7.2,100.4,37553
406252,福岡県,みやこ町,0.35,91.8,6.4,-,96.2,17710
406422,福岡県,吉富町,0.37,88.5,8.9,-,94.9,6512
406465,福岡県,上毛町,0.28,88.5,1.5,-,95.1,7142
406473,福岡県,築上町,0.32,99.3,10.5,19.9,98.2,16434
412015,佐賀県,佐賀市,0.63,93.4,2.4,-,98.5,226481
412023,佐賀県,唐津市,0.43,89.7,14.3,117.5,97.8,113890
412031,佐賀県,鳥栖市,0.91,87.8,0.8,-,98.5,74529
412040,佐賀県,多久市,0.35,92.7,12.8,-,98.6,17604
412058,佐賀県,伊万里市,0.59,90.7,7.6,30.6,98.7,51664
412066,佐賀県,武雄市,0.49,97.1,11.2,-,97.9,46972
412074,佐賀県,鹿島市,0.47,94.1,9.7,98.4,97.4,27242
412082,佐賀県,小城市,0.42,94.9,9.9,-,96.9,44063
412091,佐賀県,嬉野市,0.39,95.5,8.2,-,94.7,24446
412104,佐賀県,神埼市,0.43,94.1,9.6,36.7,97.4,30185
413275,佐賀県,吉野ヶ里町,0.52,90.0,9.8,-,95.9,16162
413411,佐賀県,基山町,0.63,89.7,6.3,-,99.4,17565
413453,佐賀県,上峰町,0.52,88.0,6.1,-,95.7,9870
413461,佐賀県,みやき町,0.42,98.5,9.8,-,95.8,25773
413879,佐賀県,玄海町,1.42,83.0,1.3,-,98.1,4825
414018,佐賀県,有田町,0.35,95.1,8.9,-,97.6,18539
414239,佐賀県,大町町,0.29,90.2,7.2,-,94.7,5941
414247,佐賀県,江北町,0.38,83.8,12.1,-,98.6,9617
414255,佐賀県,白石町,0.33,93.5,10.9,-,95.9,21010
414417,佐賀県,太良町,0.26,92.0,6.5,-,96.6,7874
422011,長崎県,長崎市,0.57,98.8,10.4,91.6,97.6,390551
422029,長崎県,佐世保市,0.53,95.8,5.7,-,98.5,233507
422037,長崎県,島原市,0.42,95.0,5.9,-,97.9,42044
422045,長崎県,諫早市,0.63,98.1,6.6,-,97.3,133479
422053,長崎県,大村市,0.63,99.4,8.5,-,97.9,99694
422070,長崎県,平戸市,0.24,92.8,5.3,-,96.7,27908
422088,長崎県,松浦市,0.51,93.7,10.1,29.3,99.2,20439
422096,長崎県,対馬市,0.20,91.3,9.5,27.9,98.5,27102
422100,長崎県,壱岐市,0.22,97.9,8.3,22.0,95.6,23736
422118,長崎県,五島市,0.24,93.8,8.6,-,96.0,33739
422126,長崎県,西海市,0.29,90.3,1.7,-,98.0,24973
422134,長崎県,雲仙市,0.28,90.6,4.0,-,98.0,40724
422142,長崎県,南島原市,0.25,86.5,▲ 5.7,-,97.3,40640
423076,長崎県,長与町,0.61,92.0,8.0,-,99.0,39479
423084,長崎県,時津町,0.66,93.7,4.9,-,98.7,29240
423211,長崎県,東彼杵町,0.31,92.4,8.8,19.4,96.3,7348
423220,長崎県,川棚町,0.36,87.3,8.1,26.8,96.9,12948
423238,長崎県,波佐見町,0.40,82.8,9.0,-,99.2,14111
423831,長崎県,小値賀町,0.10,84.6,9.3,-,94.0,2115
423912,長崎県,佐々町,0.48,91.5,8.4,-,98.3,13912
424111,長崎県,新上五島町,0.22,81.4,0.7,-,96.9,16682
431001,熊本県,熊本市,0.68,95.4,5.9,93.1,99.8,731331
432024,熊本県,八代市,0.50,93.7,9.7,79.3,96.2,120023
432032,熊本県,人吉市,0.44,98.1,7.8,-,94.4,29742
432041,熊本県,荒尾市,0.48,99.6,10.1,88.1,95.6,49036
432059,熊本県,水俣市,0.38,94.7,10.3,-,95.8,21639
432067,熊本県,玉名市,0.44,97.4,7.8,30.5,97.3,62582
432083,熊本県,山鹿市,0.34,99.0,9.4,-,97.2,48002
432105,熊本県,菊池市,0.45,95.9,9.7,5.6,95.7,46599
432113,熊本県,宇土市,0.49,95.8,12.0,0.0,97.0,36143
432121,熊本県,上天草市,0.26,95.2,11.7,-,98.6,23592
432130,熊本県,宇城市,0.40,97.9,11.0,30.4,98.8,56356
432148,熊本県,阿蘇市,0.35,91.6,8.9,45.6,95.9,24170
432156,熊本県,天草市,0.28,91.8,9.0,-,97.0,71920
432164,熊本県,合志市,0.63,91.6,6.5,-,96.6,65160
433489,熊本県,美里町,0.22,99.5,9.2,-,94.5,8632
433641,熊本県,玉東町,0.30,92.7,6.4,-,95.6,5158
433675,熊本県,南関町,0.39,91.2,7.8,22.0,92.5,8657
433683,熊本県,長洲町,0.50,91.8,6.5,37.9,94.8,15220
433691,熊本県,和水町,0.26,95.8,10.1,-,94.7,9007
434035,熊本県,大津町,0.73,90.5,7.1,-,98.3,36343
434043,熊本県,菊陽町,0.95,94.5,8.2,52.7,98.6,43761
434230,熊本県,南小国町,0.20,93.1,7.5,-,93.8,3804
434248,熊本県,小国町,0.25,85.8,9.5,-,94.6,6295
434256,熊本県,産山村,0.15,83.7,8.3,-,96.0,1361
434281,熊本県,高森町,0.27,79.1,4.9,-,92.6,5823
434329,熊本県,西原村,0.36,90.4,8.8,-,94.2,7074
434337,熊本県,南阿蘇村,0.21,95.9,14.0,23.5,94.9,10026
434418,熊本県,御船町,0.36,88.3,14.2,-,94.3,17270
434426,熊本県,嘉島町,0.60,88.8,10.9,61.1,92.4,10254
434434,熊本県,益城町,0.49,97.3,10.5,38.7,93.8,34107
434442,熊本県,甲佐町,0.30,84.7,8.7,-,93.6,9948
434477,熊本県,山都町,0.24,85.6,4.0,-,93.4,12887
434680,熊本県,氷川町,0.28,93.4,13.0,9.7,92.9,10742
434825,熊本県,芦北町,0.36,92.5,5.1,-,93.9,14877
434841,熊本県,津奈木町,0.24,89.3,3.6,-,94.5,4107
435015,熊本県,錦町,0.40,89.7,9.3,4.7,94.3,10033
435058,熊本県,多良木町,0.23,83.4,9.0,-,95.7,8321
435066,熊本県,湯前町,0.17,89.1,6.1,-,94.7,3445
435074,熊本県,水上村,0.17,85.9,12.1,-,92.6,1933
435104,熊本県,相良村,0.20,85.0,8.3,-,93.0,3961
435112,熊本県,五木村,0.21,92.2,12.5,-,95.2,929
435121,熊本県,山江村,0.16,95.2,8.5,-,93.7,3162
435139,熊本県,球磨村,0.15,81.9,7.5,-,92.3,2648
435147,熊本県,あさぎり町,0.24,90.4,8.5,-,93.8,14058
435317,熊本県,苓北町,0.40,87.4,12.5,6.1,97.4,6222
442011,大分県,大分市,0.86,97.0,6.0,45.7,102.1,472898
442020,大分県,別府市,0.56,97.4,4.0,-,99.1,112115
442038,大分県,中津市,0.52,98.9,5.6,43.3,100.0,81524
442046,大分県,日田市,0.43,94.8,5.4,-,100.6,60207
442054,大分県,佐伯市,0.35,94.9,10.1,-,99.8,64450
442062,大分県,臼杵市,0.37,92.9,8.2,-,100.6,34895
442071,大分県,津久見市,0.39,93.9,8.4,-,98.9,14980
442089,大分県,竹田市,0.26,96.9,7.4,16.9,99.4,18917
442097,大分県,豊後高田市,0.32,90.0,4.3,-,100.0,21748
442101,大分県,杵築市,0.34,89.3,3.5,-,99.3,26153
442119,大分県,宇佐市,0.42,98.7,6.4,34.9,99.9,51972
442127,大分県,豊後大野市,0.29,91.5,6.7,-,100.3,31998
442135,大分県,由布市,0.42,96.2,7.4,36.9,100.8,33521
442143,大分県,国東市,0.31,95.7,4.6,-,99.9,25074
443221,大分県,姫島村,0.10,91.0,4.5,-,83.6,1711
443417,大分県,日出町,0.58,95.1,8.4,1.6,100.4,27829
444618,大分県,九重町,0.32,90.2,4.8,-,99.9,8302
444626,大分県,玖珠町,0.37,95.2,3.9,-,100.4,13808
452017,宮崎県,宮崎市,0.69,92.4,7.9,23.3,98.6,394504
452025,宮崎県,都城市,0.55,97.3,6.1,-,98.6,162574
452033,宮崎県,延岡市,0.53,97.2,8.6,15.9,99.3,113936
452041,宮崎県,日南市,0.40,93.6,9.4,51.9,99.7,48198
452050,宮崎県,小林市,0.39,94.3,12.5,56.7,97.5,42075
452068,宮崎県,日向市,0.56,92.1,10.5,30.9,99.3,57847
452076,宮崎県,串間市,0.32,93.8,7.4,43.2,98.8,16047
452084,宮崎県,西都市,0.39,92.1,3.0,-,97.3,28078
452092,宮崎県,えびの市,0.36,99.9,4.4,-,97.5,17067
453412,宮崎県,三股町,0.45,91.3,6.2,-,95.4,25684
453617,宮崎県,高原町,0.27,92.8,7.1,-,97.0,8393
453820,宮崎県,国富町,0.45,91.3,11.4,40.0,96.8,18243
453838,宮崎県,綾町,0.27,93.7,8.5,28.3,95.1,6785
454010,宮崎県,高鍋町,0.53,92.2,10.0,-,96.7,19275
454028,宮崎県,新富町,0.45,86.9,8.1,-,96.9,16480
454036,宮崎県,西米良村,0.14,85.2,7.2,-,92.3,991
454044,宮崎県,木城町,0.75,83.2,3.4,-,96.4,4710
454052,宮崎県,川南町,0.45,91.5,8.5,-,94.9,14617
454061,宮崎県,都農町,0.30,93.0,7.1,-,93.2,10018
454214,宮崎県,門川町,0.42,88.2,6.9,-,97.8,16989
454290,宮崎県,諸塚村,0.27,81.7,5.3,-,91.5,1406
454303,宮崎県,椎葉村,0.18,82.1,10.0,-,94.7,2406
454311,宮崎県,美郷町,0.19,81.2,7.3,-,95.7,4522
454419,宮崎県,高千穂町,0.25,95.1,6.6,-,98.3,10805
454427,宮崎県,日之影町,0.17,88.8,8.8,-,96.3,3419
454435,宮崎県,五ケ瀬町,0.15,97.4,8.4,-,98.7,3278
